estacion,fecha,hora,Temperature,humedad,Pressure,windspeed,winddiraction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
smooy,2023-01-01,01:00,284.43,56.2,1002.9,0.48,291.62,0.0,0.0,0.0,0.0
smooy,2023-01-01,02:00,284.09,57.71,1002.45,0.55,296.4,0.0,0.0,0.0,0.0
smooy,2023-01-01,03:00,283.75,59.23,1002.0,0.62,300.13,0.0,0.0,0.0,0.0
smooy,2023-01-01,04:00,283.54,59.74,1002.03,0.6,295.93,0.0,0.0,0.0,0.0
smooy,2023-01-01,05:00,283.34,60.25,1002.06,0.58,291.42,0.0,0.0,0.0,0.0
smooy,2023-01-01,06:00,283.13,60.77,1002.09,0.56,286.62,0.0,0.0,0.0,0.0
smooy,2023-01-01,07:00,284.38,56.63,1002.32,0.46,268.33,0.0,0.0,0.0,0.0
smooy,2023-01-01,08:00,285.64,52.48,1002.56,0.43,244.01,0.0,0.0,0.0,14.469
smooy,2023-01-01,09:00,286.89,48.34,1002.79,0.48,220.41,0.0,0.0,0.0,107.2516
smooy,2023-01-01,10:00,288.25,44.26,1002.45,0.41,170.74,0.0,0.0,0.0,224.3418
smooy,2023-01-01,11:00,289.61,40.18,1002.11,0.63,135.68,0.0,0.0,0.0,341.0532
smooy,2023-01-01,12:00,290.98,36.1,1001.77,0.95,121.32,0.0,0.0,0.0,376.3857
smooy,2023-01-01,13:00,291.35,34.77,1001.1,1.21,120.86,0.0,0.0,0.0,371.9076
smooy,2023-01-01,14:00,291.72,33.43,1000.43,1.48,120.57,0.0,0.0,0.0,330.2226
smooy,2023-01-01,15:00,292.09,32.1,999.76,1.74,120.37,0.0,0.0,0.0,236.0335
smooy,2023-01-01,16:00,290.17,37.78,999.83,1.65,117.03,0.0,0.0,0.0,131.8317
smooy,2023-01-01,17:00,288.25,43.47,999.89,1.56,113.32,0.0,0.0,0.0,32.6308
smooy,2023-01-01,18:00,286.33,49.16,999.95,1.49,109.2,0.0,0.0,0.0,0.0
smooy,2023-01-01,19:00,285.79,51.28,1000.15,1.19,115.95,0.0,0.0,0.0,0.0
smooy,2023-01-01,20:00,285.24,53.41,1000.36,0.93,126.79,0.0,0.0,0.0,0.0
smooy,2023-01-01,21:00,284.7,55.53,1000.56,0.72,144.91,0.0,0.0,0.0,0.0
smooy,2023-01-01,22:00,284.48,55.84,1000.4,0.34,132.72,0.0,0.0,0.0,0.0
smooy,2023-01-01,23:00,284.26,56.14,1000.24,0.15,36.8,0.0,0.0,0.0,0.0
smooy,2023-01-01,00:00,284.03,56.44,1000.08,0.48,351.72,0.0,0.0,0.0,0.0
smooy,2023-01-02,01:00,284.01,56.07,999.86,0.68,329.64,0.0,0.0,0.0,0.0
smooy,2023-01-02,02:00,283.99,55.69,999.65,0.92,318.22,0.0,0.0,0.0,0.0
smooy,2023-01-02,03:00,283.97,55.31,999.43,1.19,311.75,0.0,0.0,0.0,0.0
smooy,2023-01-02,04:00,283.68,56.31,999.65,1.26,306.82,0.0,0.0,0.0,0.0
smooy,2023-01-02,05:00,283.38,57.31,999.86,1.34,302.46,0.0,0.0,0.0,0.0
smooy,2023-01-02,06:00,283.08,58.31,1000.07,1.43,298.62,0.0,0.0,0.0,0.0
smooy,2023-01-02,07:00,284.18,55.15,1000.53,1.39,296.74,0.0,0.0,0.0,0.0
smooy,2023-01-02,08:00,285.28,51.98,1001.0,1.36,294.76,0.0,0.0,0.0,13.1473
smooy,2023-01-02,09:00,286.38,48.82,1001.47,1.32,292.67,0.0,0.0,0.0,95.2788
smooy,2023-01-02,10:00,287.87,43.75,1001.36,1.33,304.18,0.0,0.0,0.0,197.6237
smooy,2023-01-02,11:00,289.36,38.68,1001.24,1.38,315.18,0.0,0.0,0.0,298.8821
smooy,2023-01-02,12:00,290.85,33.62,1001.13,1.48,325.01,0.0,0.0,0.0,336.8892
smooy,2023-01-02,13:00,291.12,33.21,1000.84,1.41,318.14,0.0,0.0,0.0,340.2882
